0302                     20034SOFTWELLVersiondémoSOFTW000004                          0000774097130002                                               00005      
0602              510100000011EA TRADING              BFV SG MADAGAS                  00015020010094190000000150000000002ACHAT SO                    00008      
0702              510100000011EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000URIS                           00008      
0602              510100000012EA TRADING              BFV SG MADAGAS                  00015020010094190000000450000000AV002ACHAT                     00008      
0702              510100000012EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000DISQUE DUR                     00008      
0602              510100000013EA TRADING              BFV SG MADAGAS                  00015020010094190000000005500000TEST 409490                    00008      
0702              510100000013EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000TEST 409490                    00008      
0602              510100000014EA TRADING              BFV SG MADAGAS                  00015020010094190000000150000000002ACHAT SO                    00008      
0702              510100000014EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000URIS                           00008      
0602              510100000015EA TRADING              BFV SG MADAGAS                  00015020010094190000000450000000AV002ACHAT                     00008      
0702              510100000015EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000DISQUE DUR                     00008      
0602              510100000016EA TRADING              BFV SG MADAGAS                  00015020010094190000000005500000TEST 409490                    00008      
0702              510100000016EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000TEST 409490                    00008      
0602              510100000017EA TRADING              BFV SG MADAGAS                  00015020010094190000000150000000002ACHAT SO                    00008      
0702              510100000017EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000URIS                           00008      
0602              510100000018EA TRADING              BFV SG MADAGAS                  00015020010094190000000450000000AV002ACHAT                     00008      
0702              510100000018EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000DISQUE DUR                     00008      
0602              510100000019EA TRADING              BFV SG MADAGAS                  00015020010094190000000005500000TEST 409490                    00008      
0702              510100000019EA TRADING              BFV SG MADAGAS                  00015020010094190000000000000000TEST 409490                    00008      
0802                                                                                                  0000000000000000                                          
